SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Poland,POL,,,,84.1884377888283,,Statistics Poland,2024-01-23
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2018,Poland,POL,Location,Urban,,85.27637034199334,,Statistics Poland,2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2018,Poland,POL,Location,Rural,,81.95964240578857,,Statistics Poland,2026-07-06
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2018,Poland,POL,Family,Children,,99.1946278595073,,Statistics Poland,2024-07-08
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2018,Poland,POL,Family,No Children,,76.9959930678474,,Statistics Poland,2024-07-08
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2018,Portugal,PRT,Location,Rural,,69.1032137394527,,Statistics Portugal,2024-07-08
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2018,Portugal,PRT,Family,Children,,95.8441423491191,,Statistics Portugal,2024-07-08
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2018,Portugal,PRT,Location,Urban,,84.78791981121047,,Statistics Portugal,2026-07-05
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2018,Portugal,PRT,Family,No Children,,75.2710127886108,,Statistics Portugal,2024-07-08
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2018,Portugal,PRT,Location,Children,Rural,95.12245055765217,,Statistics Portugal,2026-07-06
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2018,Portugal,PRT,Location,No Children,Rural,63.349889950070846,,Statistics Portugal,2026-07-05
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2018,Portugal,PRT,Location,No Children,Urban,81.71386215792947,,Statistics Portugal,2026-07-05
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2018,Portugal,PRT,Location,Children,Urban,96.1632890330522,,Statistics Portugal,2024-07-08
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Portugal,PRT,,,,79.4251064473765,,Instituto Nacional de Estatistica,2024-01-23
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Paraguay,PRY,,,,24.4079885956786,,"Direccion General de Estadistica, Encuestas y Censos",2024-01-23
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2018,Paraguay,PRY,Family,No Children,,35.07218719957925,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-05
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2018,Paraguay,PRY,Location,Children,Urban,25.766201836272135,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2018,Paraguay,PRY,Location,Rural,,8.715905089218452,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-06
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2018,Paraguay,PRY,Family,Children,,17.65658973262616,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-06
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2018,Paraguay,PRY,Location,No Children,Rural,14.363066400683955,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-05
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2018,Paraguay,PRY,Location,Urban,,33.819773317482074,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-05
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2018,Paraguay,PRY,Location,No Children,Urban,44.939669823030066,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-05
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2018,Paraguay,PRY,Location,Children,Rural,5.887809827511234,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-06
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2018,Peru,PER,Location,Children,Urban,37.791903808742774,,Instituto Nacional de Estadística e Informática - INEI,2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2018,Peru,PER,Location,Rural,,2.0727103788424976,,Instituto Nacional de Estadística e Informática - INEI,2026-07-06
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2018,Peru,PER,Location,Children,Rural,2.3262183336630784,,Instituto Nacional de Estadística e Informática - INEI,2026-07-06
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2018,Peru,PER,Location,No Children,Urban,38.41732011553281,,Instituto Nacional de Estadística e Informática - INEI,2026-07-05
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2018,Peru,PER,Family,Children,,29.59790814388601,,Instituto Nacional de Estadística e Informática - INEI,2026-07-06
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2018,Peru,PER,Location,No Children,Rural,1.8129510023215305,,Instituto Nacional de Estadística e Informática - INEI,2026-07-05
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2018,Peru,PER,Family,No Children,,29.994682874575496,,Instituto Nacional de Estadística e Informática - INEI,2026-07-05
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2018,Peru,PER,Location,Urban,,38.10163240258572,,Instituto Nacional de Estadística e Informática - INEI,2026-07-05
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Peru,PER,,,,29.7942907717151,The information comes from the home equipment module,Instituto Nacional de Estadistica e Informatica,2024-01-23
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Puerto Rico,PRI,,,,61.9758164365968,"Source: U.S. Census Bureau, 2017 American Community Survey 1-Year Estimates - Presence and Types of Internet Subscription in Household. Table B28002",Puerto Rico Institute of Statistics,2024-01-23
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Qatar,QAT,,,,93.9895073528376,,Ministry of Transport and Communications,2024-01-23
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2018,Qatar,QAT,Location,Children,Urban,98.05364424057085,,Ministry Of Transport and Communications,2026-07-05
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2018,Qatar,QAT,Family,No Children,,90.76599149366236,,Ministry Of Transport and Communications,2026-07-05
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2018,Qatar,QAT,Location,Urban,,93.98950735283758,,Ministry Of Transport and Communications,2026-07-05
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2018,Qatar,QAT,Location,No Children,Urban,90.76599149366236,,Ministry Of Transport and Communications,2026-07-05
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2018,Qatar,QAT,Family,Children,,98.05364424057085,,Ministry Of Transport and Communications,2026-07-06
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2018,Romania,ROU,Location,Children,Rural,87.1165510124831,Number of households which have children under 16 years old,National Institute of Statistics,2024-07-08
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2018,Romania,ROU,Location,Rural,,71.08533264456752,Number of households with at least one member aged 16-74,National Institute of Statistics,2026-07-06
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2018,Romania,ROU,Location,No Children,Rural,62.232422275629595,Number of households which does not have children under 16 years old,National Institute of Statistics,2026-07-05
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2018,Romania,ROU,Location,Urban,,88.08070379771134,Number of households with at least one member aged 16-74,National Institute of Statistics,2026-07-05
