"MUNICIPIO","TIPO DE EMPRESA","ENTIDAD","TIENE RESIDUOS POSTCONSUMO EN SU CASA?","DONDE ENTREGA LOS RESIDUOS","SABE QUE SIGNIFICA LA SIGLA RAEE","HA PARTICIPADO EN LAS JORNADAS DE RECOLECCION DE RESIDUOS POSTCONSUMO RAEE","COMO SE ENTERARON DE ESTA JORNADA","HA USADO APLICACIONES","UTILIZARIA UNA APP PARA RAEE?"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","ALUMIMAXI","NO","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION NORTE DE SANTANDER","NO","LOS DEJO EN CASA","NO","SI","REDES SOCIALES, TELEVISIÓN","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","NO","SI","REDES SOCIALES, RADIO, TELEVISIÓN","SI","Sí"
"SALAZAR DE LAS PALMAS","PÚBLICA","INSTITUTO TÉCNICO AGRÍCOLA","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","NO","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"PAMPLONA","DESEMPLEADO","CASA","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","RADIO","NO","No"
"CÚCUTA","PÚBLICA","INSTITUTO DEPARTAMENTAL DE SALUD","NO","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","POLICIA","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES","NO","No"
"CÚCUTA","AMA DE CASA","EL HOGAR","NO","LOS DEJO EN CASA","NO","NO","GRUPO DE WHATSAPP","NO","No tenemos acceso a internet"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","NO","LOS DEJO EN CASA","NO","NO","INFORMACIÓN DIRECTA","NO","Sí"
"PAMPLONA","PRIVADA","LATINCO","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","SI","NO","REDES SOCIALES","SI","No"
"CÚCUTA","PÚBLICA","CASA DE FAMILIA","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","DESEMPLEADO","CASA","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","INFORMACION DIRECTA","NO","Sí"
"CÚCUTA","PÚBLICA","SECRETARIA EDUCACIÓN DEPARTAMENTAL","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","SI","REDES SOCIALES, RADIO","SI","Sí"
"CÚCUTA","PRIVADA","ZONA FRANCA","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION NORTE DE SANTANDER","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","SECRETARIA DE SEGURIDAD CIUDADANA","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","AMA DE CASA","EL HOGAR","NO","LOS DEJO EN CASA","NO","NO","PO ESTÁ ENCUESTA","NO","No tenemos acceso a internet"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","INTERNET GUAIMARAL","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","NO SABIA QUE EXISTE","SI","No"
"CÚCUTA","PÚBLICA","SECRETARIA MEDIO AMBIENTE. RECURSOS NATURALES Y SOSTENIBILIDAD","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","NO","LOS DEJO EN CASA","NO","SI","INFORMACIÓN DIRECTA","SI","No"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","DECORACIONES","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES, RADIO","SI","No"
"CÚCUTA","PÚBLICA","SECRETARÍA DE SEGURIDAD CIUDADANA","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","SI","INFORMACIÓN DIRECTA","SI","No, No conozco de tecnología"
"CÚCUTA","PÚBLICA","GOBERNACIÓN","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PENSIONADO","POLICÍA NACIONAL","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA, PUBLICACIÓN EN SEDE  ELECTRÓNICA","NO","No"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","SECRETARIA DE EDUCACIÓN DEPARTAMENTAL","NO","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES","SI","Sí"
"OCAÑA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","SI","REDES SOCIALES","SI","Sí"
"PAMPLONA","PÚBLICA","PROVINCIAL SAN JOSÉ","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"LOS PATIOS","PÚBLICA","GOBERNACIÓN","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","DESEMPLEADA","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN  N DE S","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACIÓN DIRECTA","SI","No"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","DANE","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACION DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","SECRETARÍA DE MEDIO AMBIENTE, RECURSOS NATURALES Y SOSTENIBILIDAD","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","HELADERIA YETI","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES, TELEVISIÓN","SI","Sí"
"GRAMALOTE","PÚBLICA","GOBERNACION NORTE DE SANTANDER","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","IE COLEGIO LUIS CARLOS GALÁN SARMIENTO","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","SI","Sí"
"SALAZAR DE LAS PALMAS","PÚBLICA","SECRETARIA DE EDUCACIÓN DEPARTAMENTAL","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","CORREO ELECTRÓNICO","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","COMERCIANTES","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","COMERCIANTE","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","SI","REDES SOCIALES","NO","No"
"CÚCUTA","PÚBLICA","INDENORTE","NO","LOS DEJO EN CASA","NO","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION NORTE DE SANTANDER","NO","LOS DEJO EN CASA","NO","SI","INFORMACIÓN DIRECTA","SI","No"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DEL DEPARTAMENTO NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PENSIONADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"OCAÑA","PÚBLICA","SDEYP","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","PRIVADA","SERVÍ ESPECIALES","NO","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","OFICIOS VARIOS","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACIÓN DIRECTA","NO","Sí"
"LOS PATIOS","AMA DE CASA","LA CASA","NO","LOS DEJO EN CASA","NO","NO","INFORMACION DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","NO","Sí"
"SALAZAR DE LAS PALMAS","PÚBLICA","INSTITUTO TÉCNICO AGRICOLA","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","LA CASA","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","TELEVISIÓN","SI","No"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","NO","No conozco de tecnología"
"SALAZAR DE LAS PALMAS","PÚBLICA","INSTITUTO TÉCNICO AGRÍCOLA","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACIÓN DIRECTA","SI","Sí"
"PAMPLONA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","NO","LOS DEJO EN CASA","NO","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","MI CASA","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","NO","No"
"CÚCUTA","PÚBLICA","DEPARTAMENTO ADMINISTRATIVO BIENESTAR SOCIAL","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","COMERCIANTE","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","SI","INFORMACIÓN DIRECTA","SI","Sí"
"DURANIA","PÚBLICA","SECRETARIA DE DESARROLLO","NO","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","SI","PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","CORREO ELECTRÓNICO","NO","Sí"
"CÚCUTA","PÚBLICA","UNIVERSIDAD FRANCISCO DE PAULA SANTANDER","NO","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","SI","No"
"SALAZAR DE LAS PALMAS","PÚBLICA","SECRETARÍA DE  EDUCACIÓN N. DE S.","NO","LOS DEJO EN CASA","NO","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","AMA DE CASA","NO","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","REDES SOCIALES","NO","Sí"
"SARDINATA","PÚBLICA","SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","PÚBLICA","IDS","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES","NO","Sí"
"CÚCUTA","PÚBLICA","INDENORTE","SI","LOS DEJO EN CASA","SI","NO","INFORMACION DIRECTA","NO","Sí"
"CÚCUTA","PRIVADA","DAMAR AGENCIA DE VIAJES","SI","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"EL TARRA","PÚBLICA","ALCALDIA MUNICIPAL EL TARRA","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","SI","No"
"CÁCOTA","PÚBLICA","GOBERNACION","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","INDENORTE","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACION DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES","SI","Sí"
"SALAZAR DE LAS PALMAS","PÚBLICA","INSTITUTO TÉCNICO AGRÍCOLA","NO","LOS DEJO EN CASA","NO","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN - NORTE DE SANTANDER","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","INDEPENDIENTE","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","NO","INFORMACIÓN DIRECTA","NO","Sí"
"LOS PATIOS","PÚBLICA","SECRETARIA DE EDUCACION","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","INFORMACIÓN DIRECTA","SI","No"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","COMERCIANTE","NO","LOS ENTREGA A LA EMPRESA DEL ASEO","SI","NO","REDES SOCIALES","SI","Sí"
"TIBÚ","PÚBLICA","CONCEJO MUNICIPAL DE TIBU.","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","SI","Sí"
"LOS PATIOS","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","No"
"PAMPLONA","PÚBLICA","SECRETARÍA DE MEDIO AMBIENTE RECURSOS NATURALES Y SOSTENIBILIDAD","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES, INFORMACIÓN DIRECTA, RADIO, TELEVISIÓN","SI","Sí"
"EL ZULIA","PÚBLICA","I.E AGRÍCOLA RISARALDA","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","INGNIERIA Y SUMINISTROS GEF","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","NO SABIA QUE EXISTE","NO","No"
"CÚCUTA","PÚBLICA","HOSPITAL ERASMO MEOZ","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","NO","Sí"
"EL ZULIA","PÚBLICA","INSTITUTO AGRÍCOLA RISARALDA","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES","SI","Sí"
"PAMPLONA","PÚBLICA","INSTITUCIÓN EDUCATIVA BETHLEMITAS BRIGHTON","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","OFICIOS VARIOS","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","NO","No conozco de tecnología"
"CÚCUTA","PÚBLICA","IFINORTE","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","TECNO PC CÚCUTA 2050","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GREMIOS UNIDOS","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","NO SABIA QUE EXISTE","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","COMERCIANTE","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","INFORMACIÓN DIRECTA","NO","No conozco de tecnología"
"EL ZULIA","PÚBLICA","INSTITUCIÓN EDUCATIVA INSTITUTO AGRÍCOLA RISARALDA","SI","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"LABATECA","AMA DE CASA","CASA","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"EL ZULIA","PÚBLICA","SECRETARIA DE EDUCACIÓN DEPARTAMENTAL","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","SI","Sí"
"EL ZULIA","PÚBLICA","SECRETATIA DE EDUCACIÓN DEL DEPARTAMENTO.","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","SI","Sí"
"SALAZAR DE LAS PALMAS","PÚBLICA","INSTITUTO TÉCNICO AGRÍCOLA","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"PAMPLONA","PÚBLICA","UNIVERSIDAD DE PAMPLONA","NO","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","NO SABIA QUE EXISTE","NO","No"
"EL ZULIA","PÚBLICA","SECRETARIA DE EDUCACIÓN DEPARTAMENTO","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","COLEGIO LUIS CARLOS GALÁN SARMIENTO","SI","LOS DEJO EN CASA","NO","NO","INFORMACION DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"EL ZULIA","PÚBLICA","INSTITUCIÓN EDUCATIVA INSTITUTO AGRICOLA RISARALDA","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","REDES SOCIALES","SI","Sí"
"EL ZULIA","PÚBLICA","I.E INSTITUTO AGRÍCOLA RISARALDA","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"LOS PATIOS","TRABAJADOR INDEPENDIENTE","S.L.C. GROUP S.A.S.","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","PRIVADA","PERFUMERÍA DULCE SALOME","NO","LOS DEJO EN CASA","NO","SI","INFORMACION DIRECTA","SI","No"
"OCAÑA","PRIVADA","COLFONDOS","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","SI","No"
"LOS PATIOS","PÚBLICA","INDENORTE","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","No"
"EL ZULIA","PÚBLICA","INSTITUTO AGRÍCOLA RISARALDA","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"EL ZULIA","PÚBLICA","INSTITUTO AGRÍCOLA RISARALDA","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","NO","RADIO","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PRIVADA","ASGOC","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO",,"REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GREMIOS UNIDOS","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES, RADIO","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","AP SYSTEM SAS","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","SI","SI","INFORMACION DIRECTA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","DULCES MAGOLITA","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","INDEPENDIENTE","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","GENUINO JEANS","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","RADIO","SI","Sí"
"CÚCUTA","PÚBLICA","HACIENDA DEPARTAMENTAL","NO","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","NO","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS ENTREGA A LA EMPRESA DEL ASEO","SI","NO","PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","ALCALDIA SAN JOSÉ DE CÚCUTA","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
