SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
9101,HHU271-%_POP-ISCO4-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO4 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Clerical support workers,Male,100,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9138,HHU271-%_POP-SELFEMP-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - SELFEMP - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Self employee,Male,99.53662266818536,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9135,HHU271-%_POP-RURAL-,HH10 - Individuals using a mobile cellular telephone - %_POP - RURAL,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Location,Rural,,86.173250112579,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9124,HHU271-%_POP-NOTCLASS-,HH10 - Individuals using a mobile cellular telephone - %_POP - NOTCLASS,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Labour force,Not classifiable,,62.27805561668854,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9105,HHU271-%_POP-ISCO6-,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO6,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Occupation,"Skilled agricultural, forestry and fishery workers",,99.39998978536667,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9089,HHU271-%_POP-ISCO0-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO0 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Armed Forces Occupations,Male,100,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9074,HHU271-%_POP-FEMALE-,HH10 - Individuals using a mobile cellular telephone - %_POP - FEMALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Female,,90.25861469485619,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9128,HHU271-%_POP-NOTLABOUR-FEMALE,HH10 - Individuals using a mobile cellular telephone - %_POP - NOTLABOUR - FEMALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Not in labour force,Female,96.83592934112616,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9119,HHU271-%_POP-BELOW15-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - BELOW15 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,14 years and younger,Male,97.53995382960797,6-15 year old group,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9144,HHU271-%_POP-URBAN-,HH10 - Individuals using a mobile cellular telephone - %_POP - URBAN,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Location,Urban,,95.51744593523242,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9116,HHU271-%_POP-ISCO9-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO9 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Elementary occupations,Male,98.92728313770398,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9069,HHU271-%_POP-15TO24-FEMALE,HH10 - Individuals using a mobile cellular telephone - %_POP - 15TO24 - FEMALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,15 to 24 years,Female,91.64043922330441,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9083,HHU271-%_POP-ISCED34-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCED34 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Upper secondary,Male,92.14318726103944,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9071,HHU271-%_POP-25TO74-,HH10 - Individuals using a mobile cellular telephone - %_POP - 25TO74,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Age,25 to 74 years,,94.40157467701874,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9143,HHU271-%_POP-URBAN-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - URBAN - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Urban,Male,97.74267831698903,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9122,HHU271-%_POP-ABOVE74-FEMALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ABOVE74 - FEMALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,75 years and older,Female,14.493679050567595,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9120,HHU271-%_POP-MALE-,HH10 - Individuals using a mobile cellular telephone - %_POP - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Male,,92.36138659138282,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9079,HHU271-%_POP-ISCED2-FEMALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCED2 - FEMALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Lower secondary,Female,95.13693922632316,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9081,HHU271-%_POP-ISCED34-,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCED34,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Education,Upper secondary,,92.00000316236657,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9121,HHU271-%_POP-ABOVE74-,HH10 - Individuals using a mobile cellular telephone - %_POP - ABOVE74,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Age,75 years and older,,12.935053467332173,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9095,HHU271-%_POP-ISCO2-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO2 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Professionals,Male,100,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9072,HHU271-%_POP-25TO74-FEMALE,HH10 - Individuals using a mobile cellular telephone - %_POP - 25TO74 - FEMALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,25 to 74 years,Female,93.74602850590172,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9127,HHU271-%_POP-NOTLABOUR-,HH10 - Individuals using a mobile cellular telephone - %_POP - NOTLABOUR,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Labour force,Not in labour force,,96.00001266257058,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9115,HHU271-%_POP-ISCO9-FEMALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO9 - FEMALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Elementary occupations,Female,99.86344884389095,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9117,HHU271-%_POP-BELOW15-,HH10 - Individuals using a mobile cellular telephone - %_POP - BELOW15,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Age,14 years and younger,,93.5480012980715,6-15 year old group,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9092,HHU271-%_POP-ISCO1-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO1 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Managers,Male,100,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9098,HHU271-%_POP-ISCO3-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO3 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Technician and associate professionals,Male,100,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9130,HHU271-%_POP-PAIDEMP-,HH10 - Individuals using a mobile cellular telephone - %_POP - PAIDEMP,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Labour force,Paid employee,,99.70000129188735,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9107,HHU271-%_POP-ISCO6-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO6 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,"Skilled agricultural, forestry and fishery workers",Male,99.67147911310347,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9136,HHU271-%_POP-SELFEMP-,HH10 - Individuals using a mobile cellular telephone - %_POP - SELFEMP,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Labour force,Self employee,,99.5999940913114,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
