SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Israel,ISR,Location,Rural,,88.29152285414698,,CENTRAL BUREAU OF STATISTICS,2026-07-06
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Japan,JPN,,,,74.60158610271903,Estimated by the following method; (The number of households by which the age of householder is more than 20 years old)*(Survey result(%)),Ministry of Internal Affairs and Communications,2026-07-06
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2019,Japan,JPN,Location,Children,Rural,87.06206896551724,,Ministry of Internal Affairs and Communications,2026-07-06
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2019,Japan,JPN,Location,No Children,Urban,75.81126331811264,,Ministry of Internal Affairs and Communications,2026-07-05
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2019,Japan,JPN,Location,Urban,,78.68169334217255,,Ministry of Internal Affairs and Communications,2026-07-05
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2019,Japan,JPN,Location,No Children,Rural,67.42029928432011,,Ministry of Internal Affairs and Communications,2026-07-05
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2019,Japan,JPN,Family,Children,,87.72502721259315,,Ministry of Internal Affairs and Communications,2026-07-06
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2019,Japan,JPN,Family,No Children,,70.78213380144334,,Ministry of Internal Affairs and Communications,2026-07-06
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2019,Japan,JPN,Location,Children,Urban,88.70899020025564,,Ministry of Internal Affairs and Communications,2026-07-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Japan,JPN,Location,Rural,,71.89786752928615,,Ministry of Internal Affairs and Communications,2026-07-06
