departamento,anio,indicador,valor,nivel,fuente,unidad
RISARALDA,2020,pct_hogares_internet,63.49355962503724,nacional,DANE_ENTIC_Hogares,%
SAN ANDRÉS,2020,pct_hogares_computador_tablet,36.91330061658488,nacional,DANE_ENTIC_Hogares,%
SAN ANDRÉS,2020,pct_hogares_internet,32.47137284509878,nacional,DANE_ENTIC_Hogares,%
SANTANDER,2020,pct_hogares_computador_tablet,39.95774161219986,nacional,DANE_ENTIC_Hogares,%
SANTANDER,2020,pct_hogares_internet,62.9316359371049,nacional,DANE_ENTIC_Hogares,%
SUCRE,2020,pct_hogares_computador_tablet,19.657860403243784,nacional,DANE_ENTIC_Hogares,%
SUCRE,2020,pct_hogares_internet,26.119847531895147,nacional,DANE_ENTIC_Hogares,%
TOLIMA,2020,pct_hogares_computador_tablet,32.645757390138485,nacional,DANE_ENTIC_Hogares,%
TOLIMA,2020,pct_hogares_internet,62.13649000012851,nacional,DANE_ENTIC_Hogares,%
VALLE DEL CAUCA,2020,pct_hogares_computador_tablet,47.33976258162023,nacional,DANE_ENTIC_Hogares,%
VALLE DEL CAUCA,2020,pct_hogares_internet,76.09310008878526,nacional,DANE_ENTIC_Hogares,%
VAUPÉS,2020,pct_hogares_computador_tablet,11.852054295344812,nacional,DANE_ENTIC_Hogares,%
VAUPÉS,2020,pct_hogares_internet,3.1247153138380246,nacional,DANE_ENTIC_Hogares,%
VICHADA,2020,pct_hogares_computador_tablet,6.701754385964913,nacional,DANE_ENTIC_Hogares,%
VICHADA,2020,pct_hogares_internet,7.020242914979757,nacional,DANE_ENTIC_Hogares,%
TOTAL NACIONAL,2021,pct_hogares_computador_tablet,37.9,nacional,DANE_ENTIC_Hogares,%
TOTAL NACIONAL,2021,pct_hogares_internet,60.5,nacional,DANE_ENTIC_Hogares,%
AMAZONAS,2021,pct_hogares_computador_tablet,13.3,nacional,DANE_ENTIC_Hogares,%
AMAZONAS,2021,pct_hogares_internet,16.7,nacional,DANE_ENTIC_Hogares,%
ANTIOQUIA,2021,pct_hogares_computador_tablet,39.7,nacional,DANE_ENTIC_Hogares,%
ANTIOQUIA,2021,pct_hogares_internet,60.8,nacional,DANE_ENTIC_Hogares,%
ARAUCA,2021,pct_hogares_computador_tablet,16.0,nacional,DANE_ENTIC_Hogares,%
ARAUCA,2021,pct_hogares_internet,43.2,nacional,DANE_ENTIC_Hogares,%
ATLÁNTICO,2021,pct_hogares_computador_tablet,39.1,nacional,DANE_ENTIC_Hogares,%
ATLÁNTICO,2021,pct_hogares_internet,60.7,nacional,DANE_ENTIC_Hogares,%
BOGOTÁ D.C.,2021,pct_hogares_computador_tablet,66.1,nacional,DANE_ENTIC_Hogares,%
BOGOTÁ D.C.,2021,pct_hogares_internet,81.5,nacional,DANE_ENTIC_Hogares,%
BOLÍVAR,2021,pct_hogares_computador_tablet,23.1,nacional,DANE_ENTIC_Hogares,%
BOLÍVAR,2021,pct_hogares_internet,46.1,nacional,DANE_ENTIC_Hogares,%
BOYACÁ,2021,pct_hogares_computador_tablet,34.1,nacional,DANE_ENTIC_Hogares,%
BOYACÁ,2021,pct_hogares_internet,64.3,nacional,DANE_ENTIC_Hogares,%
